,IMAT Divergence
metabolite__A_C,2.9564403732891087
metabolite__B_C,2.9564403732889595
metabolite__C_C,2.042258941195477
metabolite__D_C,0.23576578862410508
metabolite__E_C,0.30985043357921005
metabolite__F_C,0.3098504335791522
metabolite__N_C,1.2364240665785933
metabolite__R_C,15.498283348452372
metabolite__U_C,8.513752133413748
metabolite__V_C,17.37782615260388
metabolite__W_C,9.935551307041505
metabolite__X_C,18.361980622689618
metabolite__H_C,7.453081147852305
metabolite__I_C,9.785491654223739
metabolite__J_C,5.100530134741461
metabolite__P_C,11.461397195048837
metabolite__Q_C,6.626968616509641
metabolite__M_C,0.6187083112457922
metabolite__T_C,1.9573337151243302
metabolite__K_C,8.302485022234473
metabolite__L_C,8.399820740155256
metabolite__O_C,9.424688922026276
metabolite__S_C,17.422137847263443
reaction__A_import,2.9564403732891087
reaction__B_import,2.9564403732889595
reaction__C_import,2.042258941195477
reaction__D_import,0.23576578862410508
reaction__E_import,0.30985043357921005
reaction__F_import,0.3098504335791522
reaction__G_import,2.6553213760421945
reaction__N_exp,0.049971101518380266
reaction__R_exp,0.603743950494383
reaction__U_exp,4.627916848774174
reaction__V_exp,0.23576578862457792
reaction__W_exp,3.3014590783642976
reaction__X_exp,0.5843487206264348
reaction__R_A_B__G_H,2.9564403732893423
reaction__R_C_H__I,3.6067734518573484
reaction__R_C_D__J,0.2357657886253982
reaction__R_I__P,3.6067734518581718
reaction__R_J__Q,0.2357657886260992
reaction__R_E__M,0.30985043357933373
reaction__R_F_M__N,0.3098504335791522
reaction__R_N__T,0.23576578862356598
reaction__R_N__U,4.947971984412429
reaction__R_H__K,2.121278707349314
reaction__R_G_K__L,2.698583941578327
reaction__R_K__O,0.6037439504944148
reaction__R_L__W,2.698583941578366
reaction__R_O_P__R,0.603743950494383
reaction__R_P_Q__S,0.23576578862452763
reaction__R_S_T__V_X,0.23576578862452763
