,IMAT Value
A_E_ex,0.0
B_E_ex,0.0
C_E_ex,0.0
D_E_ex,0.0
E_E_ex,0.0
F_E_ex,0.0
G_E_ex,0.0
N_E_ex,0.0
R_E_ex,0.0
U_E_ex,0.0
V_E_ex,0.0
W_E_ex,0.0
X_E_ex,0.0
A_import,0.0
B_import,0.0
C_import,0.0
D_import,0.0
E_import,0.0
F_import,0.0
G_import,0.0
N_exp,0.0
R_exp,0.0
U_exp,-1.0
V_exp,0.0
W_exp,1.0
X_exp,0.0
R_A_B__G_H,0.0
R_C_H__I,0.0
R_C_D__J,0.0
R_I__P,1.0
R_J__Q,0.0
R_E__M,0.0
R_F_M__N,0.0
R_N__T,0.0
R_N__U,-1.0
R_H__K,0.0
R_G_K__L,1.0
R_K__O,0.0
R_L__W,1.0
R_O_P__R,0.0
R_P_Q__S,0.0
R_S_T__V_X,0.0
biomass,0.0
